NOMEDEP;DE;MUN;CODVINC;NOMESC_CODVINC;CODESC;NOMESC;TIPO_ESCOLA;TEMPO_ESCOLA;HORARIO;ENDESC;NUMESC;COMPLEND;BAIESC;CODCEP;COMPCEP;DDD;FONE1;FONE2;EMAIL;ALE;DTCADASTRO
"ESTADUAL - SE";"BAURU";"BAURU";;;921373;"MARIA APARECIDA MASCHIETTO OKAZAKI PROFESSORA";"EE";"PARCIAL";;"RUA ÂNGELO PASCHOAL";"251";"";"JARDIM VANIA MARIA";"17063";"580";"14";"32381974";"";"E921373A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"GUARULHOS NORTE";"GUARULHOS";;;921385;"ELISIO DE OLIVEIRA NEVES VEREADOR";"EE";"PEI";"7H";"RCRISTOBAL CLAUDIO ELILLO";"366";"";"PARQUE CECAP";"07190";"065";"11";"24092494";"24649891";"E921385A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"DIADEMA";"DIADEMA";;;921397;"AUGUSTO DE OLIVEIRA JORDAO PROFESSOR";"EE";"PARCIAL";;"RUA COMENDADOR JOSÉ SILVA ARAÚJO";"18";"(JD MARAVILHA)";"TABOAO";"09940";"370";"11";"40710268";"40716442";"E921397A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"MAUA";"RIBEIRAO PIRES";;;921415;"ALVARO TRINDADE DE OLIVEIRA PROFESSOR";"EE";"PARCIAL";;"RUA ADELINA GAMEIRO";"70";"";"SAO CAETANINHO";"09402";"640";"11";"48237459";"48257807";"E921415A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CARAPICUIBA";"CARAPICUIBA";;;921427;"NATALINO FIDENCIO PROFESSOR";"EE";"PARCIAL";;"RUA ZEQUINHA DE ABREU";"SN";"";"PARQUE SANTA TERESA";"06341";"340";"11";"41861040";"41867303";"E921427A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"ITAPEVI";"ITAPEVI";;;921439;"PAULO DA COSTA PAN CHACON PROFESSOR";"EE";"PARCIAL";;"AVENIDA PEDRO PAULINO";"SN";"";"JARDIM PAULISTA";"06663";"000";"11";"26588161";"26588162";"E921439A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"ITAPEVI";"JANDIRA";;;921440;"GIUSEPPE ANGELO BERTOLLI PADRE";"EE";"PARCIAL";;"RUA IMIRIM";"267";"";"JARDIM NOSSA SENHORA DE FATIMA";"06624";"010";"11";"26588998";"26588999";"E921440A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 3";"SAO PAULO";;;921464;"CONJUNTO HABITACIONAL CARRAOZINHO";"EE";"PARCIAL";;"AVENIDA GONÇALVES DA COSTA";"317";"";"JARDIM VILA CARRAO";"08340";"520";"11";"27536800";"27538435";"E921464A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"GUARULHOS SUL";"GUARULHOS";;;921476;"CIDADE SOIMCO II";"EE";"PEI";"7H";"AVENIDA SARGENTO DA AERONÁUTICA PLÍNIO F. GONÇALVES";"608";"";"CUMBICA";"07181";"100";"11";"24880144";"24886969";"E921476A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"ITAQUAQUECETUBA";"ITAQUAQUECETUBA";;;921497;"DULCE MARIA SAMPAIO PROFESSORA";"EE";"PARCIAL";;"AVENIDA GONÇALVES DIAS";"961";"";"PARQUE RESIDENCIAL MARENGO";"08594";"270";"11";"46451100";"46453110";"E921497A@EDUCACAO.SP.GOV.BR ";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"SUZANO";"SUZANO";;;921518;"JOSE CAMILO DE ANDRADE";"EE";"PARCIAL";;"RUA JOSÉ DIAS SOUZA";"90";"";"JARDIM BRASIL";"08633";"020";"11";"47426914";"";"E921518A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"SAO BERNARDO DO CAMPO";"SAO BERNARDO DO CAMPO";;;921543;"NELSON MONTEIRO PALMA PROFESSOR";"EE";"PARCIAL";;"RUA FRANCISCO BONÍCIO";"SN";"(JD YRAJÁ)";"SANTA TEREZINHA";"09781";"260";"11";"43353627";"43353684";"E921543A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 2";"SAO PAULO";;;923597;"WILSON RACHID";"EE";"PEI";"7H";"AVENIDA ITAIM";"0";"";"VILA ITAIM";"08110";"840";"11";"29633984";"29638145";"E923597A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"AMERICANA";"AMERICANA";;;921567;"WILSON CAMARGO PROF";"EE";"PEI";"7H";"RUA FLORINDO CIBIN";"3424";"- DE 2705/2706 A 3679/3680";"PARQUE DAS NACOES";"13470";"070";"19";"34623598";"34623867";"E921567A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"MOGI MIRIM";"SERRA NEGRA";;;921579;"FRANCA FRANCHI PROFA";"EE";"PARCIAL";;"SERRA NEGRAMONTE ALEGRE DO SUL";"SN";"KM12";"SERRA DE BAIXO";"13930";"000";"19";"38427105";"";"E921579A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"SAO JOAO DA BOA VISTA";"SAO JOSE DO RIO PARDO";;;921701;"CONJUNTO HABITACIONAL NATAL MERLI";"EE";"PEI";"9H";"RUA DOMINGOS RIOLLI";"178";"";"CONJUNTO HABITACIONAL NATAL MERLI";"13725";"744";"19";"36083022";"";"E921701A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"GUARATINGUETA";"GUARATINGUETA";;;921725;"SYLVIO JOSE MARCONDES COELHO PROF";"EE";"PARCIAL";;"RUA JOÃO DARRIGO FILHO";"101";"";"SANTA LUZIA";"12507";"200";"12";"31224325";"";"E921725A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"SANTOS";"BERTIOGA";;;921737;"JOAO CARLOS DO ROSARIO LOPES";"EE";"PARCIAL";;"RUA JOSÉ CARLOS PACE";"S/ N?";"";"VISTA LINDA";"11258";"449";"13";"33116418";"";"E921737A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"SANTOS";"BERTIOGA";;;921749;"PRAIA DE BORACEIA";"EE";"PARCIAL";;"AVENIDA DEPUTADO EMILIO JUSTO";"S/N";"";"BORACEIA";"11271";"135";"13";"33121673";"";"E921749A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"ITAPETININGA";"SAO MIGUEL ARCANJO";;;921750;"MARIA ELISA DE OLIVEIRA PROFA";"EE";"PEI";"7H";"CORONEL FERNANDO PRESTES";"460";"RUA";"CENTRO";"18230";"000";"15";"32791129";"32792099";"E921750A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"ITU";"SALTO";;;921804;"FRANCISCO RIGOLIN PADRE";"EE";"PARCIAL";;"AVENIDA EUGÊNIO COLTRO";"1841";"";"SALTO VILLE";"13323";"420";"11";"40293382";"40298802";"E921804A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"MOGI MIRIM";"MOGI GUACU";;;921836;"SONIA APARECIDA MAXIMIANO BUENO PROFA";"EE";"PEI";"9H";"RUA MARIA CARMELA PEDRINI MARCHESI";"70";"";"JARDIM NOVO ITACOLOMI";"13843";"277";"19";"38417464";"38918255";"E921836A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"PRESIDENTE PRUDENTE";"PRESIDENTE PRUDENTE";;;921920;"FRANCISCO PESSOA";"EE";"PEI";"7H";"RUA SANTINA DE SOUZA OLIVETTE";"160";"";"CONJUNTO HABITACIONAL ANA JACINTA";"19064";"290";"18";"39091377";"";"E921920A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LIMEIRA";"RIO CLARO";;;921944;"JOAO BAPTISTA NEGRAO FILHO PROFESSOR";"EE";"PARCIAL";;"RUA 6 JG";"11";"";"JARDIM GUANABARA";"13502";"414";"19";"35233180";"35249460";"E921944A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"SAO CARLOS";"SAO CARLOS";;;921981;"BENTO DA SILVA CESAR PROFESSOR";"EE";"PARCIAL";;"RUA PEDRO GOMES ESCOBAR";"22";"";"JARDIM SAO CARLOS V";"13563";"519";"16";"33075996";"33714134";"E921981A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"SAO JOSE DOS CAMPOS";"SAO JOSE DOS CAMPOS";;;922018;"MARCIA HELENA BARBOSA LINO PROFESSORA";"EE";"PEI";"9H";"RUA JOSÉ RODRIGUES SALGADO";"150";"";"CAMPO DOS ALEMAES";"12239";"670";"12";"39661357";"39661699";"E922018A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"SOROCABA";"SOROCABA";;;922024;"NAZIRA NAGIB JORGE MURAD RODRIGUES PROFESSORA";"EE";"PEI";"9H";"RUA DIOLINDO ALVES DE LUZ";"164";"";"MORROS";"18020";"410";"15";"32274055";"";"E922024A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"SOROCABA";"SOROCABA";;;922031;"BEATHRIS CAIXEIRO DEL CISTIA PROFESSORA";"EE";"PARCIAL";;"RUA ARTHUR CAGLIARI";"1205";"";"JARDIM SAO CONRADO";"18076";"210";"15";"32262393";"32265013";"E922031A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 1";"SAO PAULO";;;922092;"SALVADOR LIGABUE PROFESSOR";"EE";"PARCIAL";;"RUA MORENINHA LINDA";"65";"";"VILA BRASILANDIA";"02820";"010";"11";"39713792";"39717092";"E922092A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"SUZANO";"FERRAZ DE VASCONCELOS";;;922109;"ANGELA SUELI PONTES DIAS PROFESSORA";"EE";"PARCIAL";;"RUA LUIZ ZANDRINI";"10";"";"JARDIM LUIZ MAURO";"08542";"310";"11";"46751859";"46753244";"E922109A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LESTE 3";"SAO PAULO";;;922146;"HAYDEE HIDALGO PROFESSORA";"EE";"PEI";"7H";"RUA DO JACARANDÁ-PAULISTA";"80";"";"JARDIM ARANTES";"08382";"557";"11";"27314327";"27344280";"E922146A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"GUARULHOS NORTE";"GUARULHOS";;;922171;"CIDADE SERODIO";"EE";"PEI";"9H";"AVENIDA JOSÉ BRUMATTI";"S/N";"";"JARDIM SANTO EXPEDITO";"07160";"170";"11";"20875919";"24673855";"E922171A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"AMERICANA";"AMERICANA";;;922183;"SEBASTIANA PAIE RODELLA PROFA";"EE";"PEI";"9H";"RUA SERRA DA CANASTRA";"SN";"";"PARQUE LIBERDADE";"13470";"434";"19";"34611138";"34623852";"E922183A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"NORTE 1";"SAO PAULO";;;922249;"OSCAR BLOIS";"EE";"PARCIAL";;"RUA ÂNGELO DA SILVA";"20";"";"JARDIM PANAMERICANO";"02996";"140";"11";"39410211";"39437181";"E922249A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CENTRO";"SAO PAULO";;;922250;"GIANFRANCESCO S B M GUARNIERI";"EE";"PARCIAL";;"RUA ITAPIRA";"183";"- DE 51/52 AO FIM";"MOOCA";"03102";"060";"11";"33994208";"33994212";"E922250A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"TABOAO DA SERRA";"EMBU DAS ARTES";;;922304;"MARIA CRISTINA MONTORA SIMOES PROFESSORA";"EE";"PARCIAL";;"ALAMEDA FERNANDO BATISTA MEDINA";"SN";"ALAMEDA";"CENTRO";"06803";"460";"11";"47042988";"";"E922304A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"AMERICANA";"SANTA BARBARA D'OESTE";;;922353;"HENRIQUE NICOPELLI MONSENHOR";"EE";"PEI";"9H";"ACUCAR";"284";"RUA";"JARDIM PEROLA";"13454";"178";"19";"34583868";"34587025";"E922353A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"ANDRADINA";"ANDRADINA";;;922365;"ALICE MARQUES DA SILVA ROCHA";"EE";"PEI";"9H";"RUA PARAGUASSU";"850";"";"VILA SANCHES";"16900";"117";"18";"37227736";"";"E922365A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CAMPINAS LESTE";"CAMPINAS";;;922420;"ADIWALDE DE OLIVEIRA COELHO PROFESSOR";"EE";"PEI";"9H";"RUA CASTRO ALVES";"204";"";"TAQUARAL";"13076";"040";"19";"32531323";"";"E922420A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"CAMPINAS OESTE";"CAMPINAS";;;922432;"CONCEICAO RIBEIRO PROFESSORA";"EE";"PARCIAL";;"AVENIDA SINIMBU";"S/N";"";"PARQUE UNIVERSITARIO DE VIRACOPOS";"13056";"500";"19";"32669544";"32669659";"E922432A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"FRANCA";"FRANCA";;;922444;"JOSE CARLOS DONADELI PANICE PROF";"EE";"PEI";"9H";"RUA ÉDNA BERTONCINI COMPARINI";"200";"";"JARDIM PANORAMA";"14402";"494";"16";"37254335";"37254452";"E922444A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"ITU";"PORTO FELIZ";;;922481;"ESTHER MAURINO RODRIGUES PROFA";"EE";"PARCIAL";;"RUA FELIX ROCCO";"203";"";"CONJUNTO HABITACIONAL FORTUNATO FIORAVANTE ANGELIERI";"18543";"524";"15";"32612111";"32624555";"E922481A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"JABOTICABAL";"JABOTICABAL";;;922511;"AURORA FERRAZ VIANNA DOS SANTOS PROFESSORA DONA";"EE";"PARCIAL";;"AVENIDA OSWALDO PEREIRA TEIXEIRA";"217";"";"PARQUE PRIMEIRO DE MAIO";"14875";"330";"16";"32028575";"32028576";"E922511A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"LIMEIRA";"CORDEIROPOLIS";;;922547;"ODECIO LUCKE PROFESSOR";"EE";"PARCIAL";;"AVENIDA ARISTEU MARCICANO";"1535";"";"JARDIM PROGRESSO";"13493";"254";"19";"35462208";"35462893";"E922547A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"MIRANTE DO PARANAPANEMA";"MIRANTE DO PARANAPANEMA";;;922559;"FAZENDA SAO BENTO";"AREA DE ASSENTAMENTO";"PEI";"7H";"HAROLDINA";"S/N";"AREA DE ASSENTAMENTO";"ENGENHEIRO VERAS";"19260";"000";"18";"39915401";"";"E922559A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"ADAMANTINA";"OSVALDO CRUZ";;;922584;"MARIA APARECIDA LOPES PROFA";"EE";"PEI";"9H";"DIRCEU CAVALINI";"100";"RUA";"RESIDENCIAL ATHENAS";"17700";"000";"18";"35284158";"";"E922584A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"PINDAMONHANGABA";"PINDAMONHANGABA";;;922614;"ANTONIO APPARECIDO FALCAO PROFESSOR";"EE";"PEI";"7H";"RUA PONCIANO PEREIRA";"375";"";"JARDIM ELOYNA";"12413";"430";"12";"36421818";"";"E922614A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"PINDAMONHANGABA";"PINDAMONHANGABA";;;922626;"JOSE AYLTON FALCAO PROFESSOR";"EE";"PARCIAL";;"RUA LUIZ FLÁVIO MARCONDES DE OLIVEIRA";"SN";"";"RESIDENCIAL NOVA ESPERANCA";"12426";"290";"12";"36422045";"36427693";"E922626A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"SANTO ANASTACIO";"PRESIDENTE VENCESLAU";;;922663;"HIROSHI SHIRASSU SHIRUCA PROFESSOR";"EE";"PEI";"9H";"RUA MONTEIRO LOBATO";"459";"";"VILA POPULAR";"19405";"024";"18";"32717739";"32721670";"E922663A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"RIBEIRAO PRETO";"SERRANA";;;922687;"JARDIM DAS ROSAS";"EE";"PARCIAL";;"JOAQUIM DOS SANTOS";"890";"RUA";"JARDIM DAS ROSAS";"14150";"000";"16";"39871509";"39874745";"E922687A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"SERTAOZINHO";"SERTAOZINHO";;;922717;"EDITH SILVEIRA DALMASO PROFESSORA";"EE";"PARCIAL";;"RUA NELSON TOMAZINI";"841";"";"JARDIM JAMAICA";"14164";"115";"16";"39423796";"";"E922717A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"SOROCABA";"SOROCABA";;;922742;"ROBERTO PASCHOALICK PROFESSOR";"EE";"PEI";"9H";"RUA ASSIS MACHADO";"920";"";"VILA ASSIS";"18020";"258";"15";"32314914";"32315907";"E922742A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"SOROCABA";"SOROCABA";;;922754;"SARAH SALVESTRO PROFESSORA";"EE";"PARCIAL";;"RUA JOSÉ MARTINEZ PERES";"701";"";"PARQUE VITORIA REGIA";"18078";"348";"15";"32261374";"32261931";"E922754A@EDUCACAO.SP.GOV.BR";True;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"ITU";"CERQUILHO";;;922766;"VICTORIA MARCON BELLUCCI PROFA";"EE";"PARCIAL";;"PRAÇA DOS COLIBRIS";"21";"";"FIESP";"18527";"032";"15";"32844777";"33842183";"E922766A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
"ESTADUAL - SE";"SANTOS";"BERTIOGA";;;922821;"MARIA CELESTE PEREIRA LEITE";"EE";"PARCIAL";;"RUA TEOTONIO VILELA";"S/N";"";"SAO LOURENCO";"11263";"180";"13";"33160933";"";"E922821A@EDUCACAO.SP.GOV.BR";False;"2024-10-07 11:03:32.4770000"
